instruction,price,side,qty,time
newOrder,24999,1,62710,1685313280
cancel,10528,,,1685313854
cancel,17547,,,1685313854
cancel,19080,,,1685313854
cancel,24999,,,1685313854
newOrder,17547,0,16451,1685313877
newOrder,19080,1,16451,1685313877
newOrder,10528,0,71191,1685313877
newOrder,24999,1,71191,1685313877
cancel,10528,,,1685314454
cancel,17547,,,1685314454
cancel,19080,,,1685314454
cancel,24999,,,1685314454
newOrder,17547,0,16453,1685314478
newOrder,19080,1,16453,1685314478
newOrder,12202,0,19794,1685314478
newOrder,24957,1,19794,1685314478
cancel,12202,,,1685315054
cancel,17547,,,1685315054
cancel,19080,,,1685315054
cancel,24957,,,1685315054
newOrder,17547,0,16454,1685315077
newOrder,19080,1,16454,1685315077
newOrder,12202,0,29561,1685315077
newOrder,24957,1,29561,1685315077
cancel,12202,,,1685315654
cancel,17547,,,1685315654
cancel,19080,,,1685315654
cancel,24957,,,1685315654
newOrder,17547,0,16457,1685315676
newOrder,19080,1,16457,1685315676
newOrder,10528,0,70563,1685315676
newOrder,24999,1,70563,1685315676
cancel,10528,,,1685316255
cancel,17547,,,1685316255
cancel,19080,,,1685316255
cancel,24999,,,1685316255
newOrder,17547,0,16457,1685316277
newOrder,19080,1,16457,1685316277
newOrder,12202,0,19719,1685316277
newOrder,24957,1,19719,1685316277
cancel,12202,,,1685316854
cancel,17547,,,1685316854
cancel,19080,,,1685316854
cancel,24957,,,1685316854
newOrder,17546,0,16450,1685316880
newOrder,19080,1,16450,1685316880
newOrder,12202,0,20847,1685316880
newOrder,24957,1,20847,1685316880
cancel,12202,,,1685317454
cancel,17546,,,1685317454
cancel,19080,,,1685317454
cancel,24957,,,1685317454
newOrder,17547,0,16458,1685317477
newOrder,19080,1,16458,1685317477
newOrder,10528,0,69833,1685317477
newOrder,24999,1,69833,1685317477
cancel,10528,,,1685318055
cancel,17547,,,1685318055
cancel,19080,,,1685318055
cancel,24999,,,1685318055
newOrder,17547,0,16462,1685318078
newOrder,19080,1,16462,1685318078
newOrder,12301,0,17755,1685318078
newOrder,24957,1,17755,1685318078
cancel,12301,,,1685318654
cancel,17547,,,1685318654
cancel,19080,,,1685318654
cancel,24957,,,1685318654
newOrder,17547,0,16463,1685318678
newOrder,19080,1,16463,1685318678
newOrder,10528,0,84114,1685318678
newOrder,24999,1,84114,1685318678
cancel,10528,,,1685319254
cancel,17547,,,1685319254
cancel,19080,,,1685319254
cancel,24999,,,1685319254
newOrder,17547,0,16465,1685319281
newOrder,19080,1,16465,1685319281
newOrder,10528,0,64267,1685319281
newOrder,24999,1,64267,1685319281
cancel,10528,,,1685319854
cancel,17547,,,1685319854
cancel,19080,,,1685319854
cancel,24999,,,1685319854
newOrder,17547,0,16466,1685319879
newOrder,19080,1,16466,1685319879
newOrder,10528,0,62157,1685319879
newOrder,24999,1,62157,1685319879
cancel,10528,,,1685320455
cancel,17547,,,1685320455
cancel,19080,,,1685320455
cancel,24999,,,1685320455
newOrder,17547,0,16467,1685320479
newOrder,19080,1,16467,1685320479
newOrder,10528,0,76240,1685320479
newOrder,24999,1,76240,1685320479
cancel,10528,,,1685321056
cancel,17547,,,1685321056
cancel,19080,,,1685321056
cancel,24999,,,1685321056
newOrder,17547,0,16468,1685321078
newOrder,19080,1,16468,1685321078
newOrder,10528,0,88428,1685321078
newOrder,24999,1,88428,1685321078
cancel,10528,,,1685321655
cancel,17547,,,1685321655
cancel,19080,,,1685321655
cancel,24999,,,1685321655
newOrder,17547,0,16470,1685321679
newOrder,19080,1,16470,1685321679
newOrder,12202,0,26246,1685321679
newOrder,24957,1,26246,1685321679
cancel,12202,,,1685322254
cancel,17547,,,1685322254
cancel,19080,,,1685322254
cancel,24957,,,1685322254
newOrder,17547,0,16471,1685322278
newOrder,19080,1,16471,1685322278
newOrder,12302,0,31558,1685322278
newOrder,24957,1,31558,1685322278
cancel,12302,,,1685322854
cancel,17547,,,1685322854
cancel,19080,,,1685322854
cancel,24957,,,1685322854
newOrder,17472,0,15754,1685322879
newOrder,19080,1,15754,1685322879
newOrder,10483,0,44415,1685322879
newOrder,24999,1,44415,1685322879
cancel,10483,,,1685323455
cancel,17472,,,1685323455
cancel,19080,,,1685323455
cancel,24999,,,1685323455
newOrder,17442,0,15466,1685323479
newOrder,19080,1,15466,1685323479
